age_gyr,sfr_msun_per_gyr_per_pcsq
0.05314,1.56240
0.41051,2.39718
0.73402,3.37370
0.91617,3.99631
1.13186,4.78690
1.33084,5.50852
1.57522,6.51878
1.77291,7.16190
1.95958,7.80637
2.37512,8.66683
2.56896,8.91986
2.99067,8.63924
3.32371,8.05575
3.58997,7.28187
3.91840,6.25768
4.36724,5.12892
4.68298,4.43206
5.23190,3.79094
5.99895,3.92575
6.41145,4.22300
6.79538,4.68293
7.49099,5.81335
8.07043,6.63415
8.44780,7.42387
8.97513,8.52962
9.19444,9.01742
9.38459,9.57178
9.55731,9.93031
9.98242,11.26132

