age_gyr,sfr_au
0.05098,0.43732
0.10593,0.25333
0.32510,0.29615
0.57951,0.33578
0.72324,0.43067
0.86118,0.62656
0.90969,1.07360
0.95664,1.30402
1.01306,0.85042
1.08886,0.45003
1.28196,0.48832
1.53548,0.54358
1.69893,0.72669
1.73969,0.89158
1.77229,1.05070
1.82444,1.24301
1.85555,1.44128
1.89516,1.60262
1.94808,1.43840
2.03551,1.24301
2.07898,1.09824
2.23871,0.80898
2.49221,0.88813
2.74574,0.93531
2.99936,0.86573
3.25293,0.85252
3.50650,0.85844
3.76005,0.87277
4.01359,0.89868
4.26711,0.96294
4.48786,1.08980
4.65540,1.26195
4.77796,1.42847
4.93729,1.64701
5.17449,1.65907
5.35958,1.80361
5.44342,1.97325
5.48493,2.14400
5.52570,2.30783
5.56721,2.47931
5.60256,2.64120
5.73123,2.79716
5.74521,3.14393
5.74601,2.99407
5.88126,2.62779
5.92230,2.44986
5.96333,2.27379
6.00437,2.10012
6.04540,1.92591
6.09053,1.74519
6.15609,1.57849
6.21348,1.41207
6.27087,1.24566
6.32825,1.07962
6.48384,0.86230
6.73736,0.91704
6.99095,0.87594
7.24458,0.80096
7.49813,0.82198
7.75165,0.87526
8.00512,1.00249
8.25855,1.16550
8.51202,1.29376
8.76559,1.28338
9.01915,1.28544
9.27270,1.31161
9.52621,1.38668
9.74282,1.56839
9.95953,1.63008
10.21309,1.63548
10.46655,1.77086
10.71314,1.72600
10.91872,1.76389
11.15350,1.93568
11.40710,1.88652
11.66073,1.81213
11.91431,1.78897
12.16784,1.82955
12.42141,1.83169
12.58485,2.02260
12.65832,2.20109
12.73180,2.38047
12.89112,2.60447
13.14056,2.65386
13.34901,2.82194
13.51247,2.98870

